k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
3,multiplicative,0,230330,986.9328426323445,True,True,"[2.7469455476815403, 0.02854188403246243, 1.8631879530450077, 6.106386183935832]","[28.370729652799156, 12.322553513922987, 14.688124711997144, 2.2671188210579447]","[0.0, 0.0, 0.0, 0.0]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[-0.017295522872277355, 0.00017645949615159467, 0.011814954137697408, -0.03787222738175492]","[0.1785744796894085, 0.08378245914434791, -0.10322992334204292, -0.016505292308744934]",1.0,1.0
3,multiplicative,1,231628,258.1132826430912,True,True,"[2.6618479646585644, 1.7842404557154596, 0.15317533848324344, 0.9207406986399922]","[0.45542260781309835, 15.501033707118502, 3.766587941939592, 1.0629982502939141]","[0.0, 0.0, 0.0, 0.0]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[-0.018062064286068893, -0.011656142031464334, 0.0009890404439303051, 0.006166591505352844]","[-0.0036117445951038374, 0.11888151772181546, -0.02878645716191378, 0.008234480997865227]",0.6666666666666666,0.0
3,multiplicative,2,248360,94.59039789250164,True,True,"[0.12652745674101523, 1.8431459714268896, 3.1527152981191877, 3.8007754675465946]","[2.6907718296762027, 1.3078752846743247, 8.995133905587569, 0.3994332051724658]","[0.0, 0.0, 0.0, 0.0]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.0009194579921740194, 0.013409868219657096, -0.023262182530272964, -0.02716536726732532]","[0.021155239350391358, -0.00976663773278084, -0.07763631078616687, -0.003158325775047809]",0.6666666666666666,0.0
3,multiplicative,3,254147,1198.0826259146543,True,True,"[1.6293784913238627, 1.189478870991308, 4.981245638291688, 1.6245267449199652]","[30.761807397390594, 16.01666921959719, 22.663750066685235, 0.21478831997333744]","[0.0, 0.0, 0.0, 0.0]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.010361218231419958, 0.007413686215962867, 0.0321135877685077, 0.010092029566891376]","[0.16225389714198368, 0.10060182801819581, 0.13790009634949094, 0.0014902969015056992]",1.0,0.0
3,multiplicative,4,237026,2117.2876988710777,True,True,"[1.8208271381020114, 0.977689092709595, 7.142294814826539, 0.09588229739870899]","[60.5164889701841, 4.74553207874371, 19.91702264910161, 0.6162814625131345]","[0.0, 0.0, 0.0, 0.0]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[0.014183790362805202, 0.007250220898228814, -0.0538659391969898, 0.0007288670844607371]","[0.21694164281603684, -0.026433775767323538, 0.13244132147888107, -0.004779865100164542]",1.0,0.0
3,combined,0,233383,1015.7211818828891,True,True,"[37.2290356725007, 20.44591050032678, 26.15828946772918, 6.243344026209328]","[1.2401643232301456, 1.407947476486307, 60.547424769148584, 2.5743342731321395]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[-0.031800667404401566, -0.04300948785018189, 0.3543628380320611, 0.0]","[0.22833315730033374, 0.12304460532220551, -0.1564318547262961, -0.03734260664083834]","[0.00918757219399874, -0.01002430256868695, 0.21397759472969802, -0.019931514065984056]",1.0,1.0
3,combined,1,232441,913.9312293849271,True,True,"[3.239697455779591, 21.5542458792791, 14.72139414975899, 0.9334821791214123]","[0.31660328942850835, 2.7903089043749274, 41.98601000415077, 0.8098574596254282]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[0.03171847748335711, 0.009327663071226691, 0.21275312730438364, 0.0]","[0.022316812837486058, 0.14414852481042484, -0.10241497009530154, 0.006379501217501574]","[0.0022878512929447735, 0.02013986262849546, 0.20152051894110076, 0.005721620482905567]",1.0,0.0
3,combined,2,248795,729.138524232736,True,True,"[2.6486372958517563, 2.90211953365803, 14.515136896907118, 3.2881416165111905]","[25.45532770388268, 5.8534048821234475, 16.88070553009757, 1.0697415748307009]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.17645934665776256, -0.05963685673819899, -0.11865757124813925, 0.0]","[0.020020582924327547, -0.02141269616487654, -0.10660213947878043, -0.023849724488756174]","[0.16283040839168794, -0.04328204104426973, -0.1363005422493205, 0.0076377633764682954]",1.0,1.0
3,combined,3,255762,652.3198404606301,True,True,"[32.48307119913203, 20.755043492468065, 24.79355941571262, 0.970071536682237]","[8.075570239315024, 17.140868478018238, 20.181201232236603, 1.045620970932515]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.04863026324974986, 0.12364803488403338, 0.09312050937350408, 0.0]","[0.20039484917636857, 0.12607692664081396, 0.15130114818676257, 0.005701435201421132]","[0.05796679356434658, 0.1233720860137171, 0.12625656403414529, -0.007559384640120451]",1.0,0.0
3,combined,4,248125,515.3187581771126,True,True,"[62.29994691185392, 11.240065179484498, 29.408341543802017, 1.3295731491629765]","[3.9841368961986996, 12.695487729905715, 10.10562590802909, 0.48053438830126577]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[-0.036624700157205946, -0.15326080668654973, -0.14424185711448628, 0.0]","[0.4069510505463145, -0.0723571869998882, 0.19630469103584455, 0.008606358242094062]","[0.03970608245691722, -0.1242907741382299, -0.11133493644766548, 0.00455117339684825]",1.0,0.0
