seed,nside,scenario,level,method,A_add,A_mult,dA_add,dA_mult,bias_contaminated,bias_recovered,improvement
3,64,additive,low,ElasticNet,0.0413661,0,0.00915452,0,0.637531,0.307222,2.07515
3,64,additive,low,MCMC-add,0.0413661,0,0.00965337,0,0.637531,0.359252,1.77461
3,64,additive,low,MCMC-comb,0.0413661,0,0.00954591,0.0425207,0.637531,1.15587,0.551559
3,64,multiplicative,low,OLS,0,0.0358076,0.0277658,0.0358076,0.435259,0.473797,0.918661
3,64,multiplicative,low,ISD-1,0,0.0358076,0,0.0358076,0.435259,0.435259,1
3,64,multiplicative,low,ISD-3,0,0.0358076,0.00896178,0.0358076,0.435259,0.478447,0.909733
3,64,multiplicative,low,ElasticNet,0,0.0358076,0.021623,0.0358076,0.435259,0.486831,0.894066
3,64,multiplicative,low,MCMC-add,0,0.0358076,0.0277893,0.0358076,0.435259,1.14931,0.378712
3,64,multiplicative,low,MCMC-comb,0,0.0358076,0.0273956,0.0436062,0.435259,1.53101,0.284295
3,64,combined,low,OLS,0.0413661,0.0358076,0.00985715,0.0358076,0.885417,0.294029,3.01132
3,64,combined,low,ISD-1,0.0413661,0.0358076,0.0222439,0.0358076,0.885417,0.284051,3.11711
3,64,combined,low,ISD-3,0.0413661,0.0358076,0.0195935,0.0358076,0.885417,0.292894,3.02299
3,64,combined,low,ElasticNet,0.0413661,0.0358076,0.00931095,0.0358076,0.885417,0.205883,4.30058
3,64,combined,low,MCMC-add,0.0413661,0.0358076,0.00987905,0.0358076,0.885417,0.755572,1.17185
3,64,combined,low,MCMC-comb,0.0413661,0.0358076,0.00949671,0.0432965,0.885417,1.15501,0.766592
3,64,additive,medium,OLS,0.103415,0,0.0183519,0,3.61936,4.73451,0.764464
3,64,additive,medium,ISD-1,0.103415,0,0.0502116,0,3.61936,0.288855,12.53
3,64,additive,medium,ISD-3,0.103415,0,0.0467908,0,3.61936,0.29745,12.168
3,64,additive,medium,ElasticNet,0.103415,0,0.0192854,0,3.61936,4.67528,0.774148
3,64,additive,medium,MCMC-add,0.103415,0,0.0183287,0,3.61936,0.326675,11.0794
3,64,additive,medium,MCMC-comb,0.103415,0,0.0184353,0.0243921,3.61936,0.313381,11.5494
3,64,multiplicative,medium,OLS,0,0.089519,0.0280642,0.089519,1.26251,1.23748,1.02022
3,64,multiplicative,medium,ISD-1,0,0.089519,0,0.089519,1.26251,1.26251,1
3,64,multiplicative,medium,ISD-3,0,0.089519,0.00908209,0.089519,1.26251,1.16444,1.08422
3,64,multiplicative,medium,ElasticNet,0,0.089519,0.0209248,0.089519,1.26251,1.24509,1.01399
3,64,multiplicative,medium,MCMC-add,0,0.089519,0.0280878,0.089519,1.26251,1.93027,0.654059
3,64,multiplicative,medium,MCMC-comb,0,0.089519,0.0268593,0.0424025,1.26251,1.50089,0.841173
3,64,combined,medium,OLS,0.103415,0.089519,0.0184492,0.089519,4.35812,6.2386,0.698573
3,64,combined,medium,ISD-1,0.103415,0.089519,0.0509899,0.089519,4.35812,1.03843,4.19683
3,64,combined,medium,ISD-3,0.103415,0.089519,0.0471728,0.089519,4.35812,1.12721,3.8663
3,64,combined,medium,ElasticNet,0.103415,0.089519,0.0195232,0.089519,4.35812,6.22292,0.700333
3,64,combined,medium,MCMC-add,0.103415,0.089519,0.0184254,0.089519,4.35812,1.04258,4.18014
3,64,combined,medium,MCMC-comb,0.103415,0.089519,0.0188848,0.0424489,4.35812,0.575252,7.57601
3,64,additive,high,OLS,0.20683,0,0.065525,0,13.3903,6.43163,2.08194
3,64,additive,high,ISD-1,0.20683,0,0.101403,0,13.3903,2.63543,5.08087
3,64,additive,high,ISD-3,0.20683,0,0.106137,0,13.3903,2.44865,5.46845
3,64,additive,high,ElasticNet,0.20683,0,0.0676905,0,13.3903,6.30666,2.1232
3,64,additive,high,MCMC-add,0.20683,0,0.0655025,0,13.3903,0.374647,35.7411
3,64,additive,high,MCMC-comb,0.20683,0,0.0666615,0.0290718,13.3903,0.608862,21.9923
3,64,multiplicative,high,OLS,0,0.179038,0.0286039,0.179038,2.93964,2.75893,1.0655
3,64,multiplicative,high,ISD-1,0,0.179038,0,0.179038,2.93964,2.93964,1
3,64,multiplicative,high,ISD-3,0,0.179038,0.00580485,0.179038,2.93964,2.87305,1.02318
3,64,multiplicative,high,ElasticNet,0,0.179038,0.0238078,0.179038,2.93964,2.87913,1.02102
3,64,multiplicative,high,MCMC-add,0,0.179038,0.0286278,0.179038,2.93964,3.61135,0.814
3,64,multiplicative,high,MCMC-comb,0,0.179038,0.0267652,0.0651398,2.93964,0.376283,7.8123
3,64,combined,high,OLS,0.20683,0.179038,0.0664199,0.179038,15.1271,14.67,1.03116
3,64,combined,high,ISD-1,0.20683,0.179038,0.097602,0.179038,15.1271,4.21662,3.58749
3,64,combined,high,ISD-3,0.20683,0.179038,0.101469,0.179038,15.1271,4.09752,3.69177
