nside,n_sys,n_pix,n_real,n_mean,sigma_clus,regime,cl_slope,kappa_per_template_median,kappa_per_template_max,kappa_field,fpr3_per_template,fpr3_any_template,sigma_emp_median,sigma_iid_median,cell
32,11,5954,2000,127,0.2,clustered,2.5,4.53967,11.2164,7.0039,0.436182,0.9985,0.0146219,0.00457202,ns32_slope2.5_sc0.2
32,3,5954,2000,127,0,shot-only,0,0.979696,1.01844,0.99696,0.00266667,0.008,0.00138542,0.00141563,ns32_slope2.5_sc0.4
32,5,5954,2000,127,0,shot-only,0,1.01033,1.03214,1.01046,0.0028,0.0135,0.00132432,0.00129145,ns32_slope2.5_sc0.4
32,7,5954,2000,127,0,shot-only,0,0.996054,1.01736,0.99617,0.00285714,0.018,0.00135128,0.00133088,ns32_slope2.5_sc0.4
32,9,5954,2000,127,0,shot-only,0,1.0014,1.0168,0.996566,0.00211111,0.018,0.00147994,0.00146141,ns32_slope2.5_sc0.4
32,11,5954,2000,127,0,shot-only,0,0.997057,1.04042,1.00037,0.00263636,0.026,0.00190783,0.0019471,ns32_slope2.5_sc0.4
32,3,5954,2000,127,0.4,clustered,2.5,9.6227,10.199,9.90793,0.748,0.9835,0.0629042,0.00646234,ns32_slope2.5_sc0.4
32,5,5954,2000,127,0.4,clustered,2.5,7.99385,10.255,8.85562,0.6888,0.9985,0.0445871,0.00587157,ns32_slope2.5_sc0.4
32,7,5954,2000,127,0.4,clustered,2.5,8.20076,11.9565,8.90174,0.655857,0.9995,0.0455845,0.0060079,ns32_slope2.5_sc0.4
32,9,5954,2000,127,0.4,clustered,2.5,5.03384,12.0919,8.04238,0.542444,0.998,0.0438833,0.00654506,ns32_slope2.5_sc0.4
32,11,5954,2000,127,0.4,clustered,2.5,4.67285,11.8341,7.3278,0.446,0.999,0.0287421,0.008731,ns32_slope2.5_sc0.4
32,3,5954,2000,127,0,shot-only,0,0.988816,1.03276,1.00207,0.00183333,0.0055,0.00138626,0.00141527,ns32_slope3.0_sc0.2
32,5,5954,2000,127,0,shot-only,0,0.999052,1.01438,1.00215,0.0025,0.012,0.00128823,0.00129173,ns32_slope3.0_sc0.2
32,7,5954,2000,127,0,shot-only,0,0.999288,1.01188,0.99924,0.00285714,0.0185,0.00134349,0.00133137,ns32_slope3.0_sc0.2
32,9,5954,2000,127,0,shot-only,0,0.994103,1.01574,0.994509,0.00283333,0.0245,0.00145975,0.00146219,ns32_slope3.0_sc0.2
32,11,5954,2000,127,0,shot-only,0,0.992564,1.02436,0.994044,0.00272727,0.0275,0.00198857,0.00194779,ns32_slope3.0_sc0.2
32,3,5954,2000,127,0.2,clustered,3,10.4819,11.4293,11.0279,0.784833,0.9895,0.0353574,0.00333464,ns32_slope3.0_sc0.2
32,5,5954,2000,127,0.2,clustered,3,9.1258,11.7348,10.0451,0.7255,0.9995,0.0259656,0.00299522,ns32_slope3.0_sc0.2
32,7,5954,2000,127,0.2,clustered,3,9.49576,14.6404,10.326,0.700643,0.9995,0.0267096,0.00304017,ns32_slope3.0_sc0.2
32,9,5954,2000,127,0.2,clustered,3,5.96103,15.0478,9.48485,0.576611,1,0.0263934,0.0033391,ns32_slope3.0_sc0.2
32,11,5954,2000,127,0.2,clustered,3,5.65154,13.9782,8.42602,0.484545,0.9995,0.0176027,0.0044212,ns32_slope3.0_sc0.2
32,3,5954,2000,127,0,shot-only,0,1.00994,1.03036,1.01226,0.00233333,0.0065,0.00142939,0.00141532,ns32_slope3.0_sc0.4
32,5,5954,2000,127,0,shot-only,0,0.985933,1.00876,0.992086,0.003,0.015,0.00125738,0.00129127,ns32_slope3.0_sc0.4
32,7,5954,2000,127,0,shot-only,0,1.00339,1.02776,1.00255,0.00207143,0.014,0.001365,0.00133079,ns32_slope3.0_sc0.4
32,9,5954,2000,127,0,shot-only,0,0.995813,1.00915,0.993203,0.00238889,0.0195,0.00146879,0.00146139,ns32_slope3.0_sc0.4
32,11,5954,2000,127,0,shot-only,0,0.994006,1.01487,0.99469,0.00263636,0.027,0.00195294,0.00194775,ns32_slope3.0_sc0.4
32,3,5954,2000,127,0.4,clustered,3,11.212,12.1685,11.7116,0.785333,0.9895,0.0711795,0.00627595,ns32_slope3.0_sc0.4
32,5,5954,2000,127,0.4,clustered,3,9.87052,12.2836,10.582,0.7418,0.9995,0.0532577,0.00567994,ns32_slope3.0_sc0.4
32,7,5954,2000,127,0.4,clustered,3,10.2193,15.5293,11.0005,0.713571,0.9995,0.0539468,0.00570565,ns32_slope3.0_sc0.4
32,9,5954,2000,127,0.4,clustered,3,6.25071,15.3935,9.90495,0.591167,1,0.052199,0.00626972,ns32_slope3.0_sc0.4
32,11,5954,2000,127,0.4,clustered,3,5.94318,15.275,8.96858,0.495409,1,0.0349225,0.00834093,ns32_slope3.0_sc0.4
64,3,22641,2000,127,0,shot-only,0,0.998804,1.02386,1.0018,0.00266667,0.0075,0.000702269,0.000714897,ns64_slope1.0_sc0.2
64,5,22641,2000,127,0,shot-only,0,0.990788,1.00027,0.991588,0.0021,0.009,0.000638709,0.000642736,ns64_slope1.0_sc0.2
64,7,22641,2000,127,0,shot-only,0,1.00767,1.02668,1.00464,0.00264286,0.016,0.000677581,0.00066638,ns64_slope1.0_sc0.2
64,9,22641,2000,127,0,shot-only,0,0.996501,1.04007,0.997226,0.00244444,0.0195,0.000740729,0.000740564,ns64_slope1.0_sc0.2
64,11,22641,2000,127,0,shot-only,0,0.990837,1.02582,0.998825,0.00290909,0.028,0.000949182,0.000967343,ns64_slope1.0_sc0.2
64,3,22641,2000,127,0.2,clustered,1,3.76776,3.92376,3.7448,0.389833,0.772,0.00674708,0.00177554,ns64_slope1.0_sc0.2
64,5,22641,2000,127,0.2,clustered,1,2.86668,3.88481,3.27842,0.3057,0.8385,0.00442977,0.00159617,ns64_slope1.0_sc0.2
64,7,22641,2000,127,0.2,clustered,1,2.95304,3.71405,3.13552,0.279071,0.859,0.00457577,0.0016543,ns64_slope1.0_sc0.2
64,9,22641,2000,127,0.2,clustered,1,2.03946,3.77338,2.85194,0.215944,0.8595,0.0044615,0.00183892,ns64_slope1.0_sc0.2
64,11,22641,2000,127,0.2,clustered,1,2.05032,3.71666,2.65147,0.181636,0.868,0.0044613,0.00240141,ns64_slope1.0_sc0.2
64,3,22641,2000,127,0,shot-only,0,0.995252,1.01041,0.990437,0.00233333,0.0065,0.000717584,0.000714886,ns64_slope1.0_sc0.4
64,5,22641,2000,127,0,shot-only,0,0.996339,1.01709,0.996453,0.0021,0.0095,0.000653768,0.000642786,ns64_slope1.0_sc0.4
