k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
2,additive,1,241584,35.7531690712367,True,False,"[13.304507090979747, 16.93578156764672, 0.04919715373768482, 3.1597778796596026, 2.7710395902717084]","[0.13499510439076837, 0.2479453267929371, 2.3138557201689522, 2.8261639386415065, 3.109887693434095]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.10245579593981777, 0.1344024346634583, -0.0003730450705458979, -0.027724912481499962, -0.01932296368065849]","[-0.0016918554792797955, 0.004430503041781633, 0.02862395193863308, -0.029292567997759963, -0.027023855896776607]",1.0,0.6666666666666666
2,additive,2,228669,24.964149822430045,True,False,"[6.955194381864469, 10.643189730388123, 4.759353099852794, 3.67072652739681, 1.9404740658997286]","[1.2661265489701927, 1.5892015010888545, 0.49867790471775736, 2.9573795616781804, 1.5525895559516834]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.043453562694687295, -0.06877316946915285, 0.03280401819822206, 0.022162454842208964, 0.012331034013627491]","[0.011913923720192782, 0.013585475902473757, 0.0037629814831652893, 0.0250599343730424, 0.015424440299532226]",1.0,0.6666666666666666
2,additive,3,253076,118.16734853582602,True,False,"[5.514275870148761, 10.084743716822597, 2.2197047131558723, 3.145191671841743, 1.1300040238518005]","[3.026818937927631, 0.3494805915486856, 4.419263757387582, 1.1289151350607631, 0.0341051403904726]","[0.1939628256039105, 0.12390768035248194, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.18198969653217362, 0.11994909503910368, -0.040608996965730934, -0.03484711779687576, -0.009003580789613084]","[0.03005012425942659, 0.004650370360932893, -0.07542321596442399, -0.024343425892369923, 0.0005097523944502299]",1.0,0.6666666666666666
2,additive,4,242724,102.21875775857916,True,False,"[8.642441970580546, 18.840076140466795, 3.2884679874315825, 4.1811434237854765, 2.5360316930497517]","[2.597147111460606, 0.2112819019564591, 0.3160581595833233, 7.09286822490988, 2.6489982666683427]","[-0.06667052058737304, -0.18130936749134813, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06863637748173929, -0.17868661627085083, 0.025488286122647655, 0.039426969117763506, 0.01979779931415874]","[-0.027281479211373572, 0.0021884111602758897, -0.0028422193130476243, 0.06958630341979181, 0.028882739013182182]",1.0,1.0
2,additive,5,240535,73.03931078596906,True,False,"[11.363455481623166, 8.315707709178735, 2.6422123051757715, 2.7446998508063514, 0.6342798660265115]","[4.277628214928107, 0.11249334845996371, 3.7802336142932194, 3.7335361732567867, 0.9986366837886956]","[0.04961141977362135, -0.05659393596786554, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0710946829455698, -0.04923899383019832, -0.016420228290289725, 0.01687787756272926, -0.003638372088787033]","[0.04459043360265856, -0.0008922342861240753, -0.030977181322375664, 0.03505553946779117, -0.008958382600749222]",1.0,0.6666666666666666
2,additive,6,233395,39.02645631061205,True,False,"[8.705009899829884, 13.370031820230809, 0.7552730795640686, 1.8449198345262185, 0.3563571586311556]","[0.5239434603207318, 1.3968313804448227, 3.180421659751607, 2.5631622259805975, 1.5030852277861595]","[0.05772088539895497, 0.11338684820906224, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.05927045632168627, 0.11140842029786704, 0.004708487605813442, 0.011488571584753492, -0.0023707920738310624]","[0.004407041132616582, -0.0187752245108272, 0.03390760218534804, 0.025091577007573196, -0.01730632088083184]",1.0,0.0
2,additive,7,240765,59.1003080071423,True,False,"[17.48364093510165, 16.014728019948983, 3.956169515202873, 1.8247137755038985, 0.5214326412989224]","[2.4793752869714276, 2.3763583122569205, 2.7888402933873038, 0.4951221992938212, 0.8926568841638935]","[-0.12980932237527743, -0.2118349351166139, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.1392444446515903, -0.2127692115174154, 0.041288532577216305, -0.014053548713746027, -0.006326348275972236]","[-0.0250441797776177, -0.026956899230949672, 0.04801778716375865, -0.010335255352896557, -0.008963684070881078]",1.0,0.3333333333333333
2,additive,8,245320,23.897880427472046,True,False,"[8.744034469057041, 10.53294628101821, 3.1808837182569047, 0.6247925968462186, 1.3348075501636572]","[2.2211119719917707, 2.1450150993731505, 2.30148665593777, 1.4812382076415025, 0.5679535293222628]","[0.06264786944656375, -0.07486193325943036, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0559229199005232, -0.07035745770019347, -0.020463138646231407, -0.0037572800157726106, -0.008123573746097616]","[-0.01741718026499373, -0.018071254662790456, 0.023120480668480575, -0.014441641531361116, -0.004922785214258414]",1.0,0.3333333333333333
2,additive,9,221987,40.63603034930202,True,False,"[0.1021282961897216, 19.655487057517153, 4.075941104183688, 2.719982725877931, 0.1856573925899573]","[0.5936859000705277, 0.6003883395390919, 1.9894592121105636, 0.11660222452996327, 3.3518952004938396]","[-0.007671127758639055, 0.24882997795887224, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0008693207759728162, 0.2724358034495403, -0.04765019998410443, -0.024549296492607724, 0.0016371955255258801]","[-0.011230859839344503, 0.007023197181626606, -0.04229411147071013, -0.0023466190820431373, -0.03854555611565128]",0.5,0.6666666666666666
2,multiplicative,0,243364,532.5547360931414,True,True,"[1.7341476328923442, 0.930231531626243, 1.4582707795898102, 3.710042410035679, 0.9847881000445868]","[2.140702214848435, 3.9447165109367828, 1.6723532129445653, 0.8301902764039221, 1.6399822509185877]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.05395026835070856, 0.1805512652231566, 0.0, 0.0, 0.0]","[0.010224989684924413, 0.005376748514786814, 0.008634840733512016, 0.021830360414826052, -0.0057710551051096985]","[-0.03492937474120296, 0.14755829092944603, -0.01989411711175805, 0.009675340153832241, -0.020269944152579787]",1.0,0.0
2,multiplicative,1,242462,456.1823150245509,True,True,"[1.1150456609510193, 0.7280074347247558, 0.6730943826466266, 4.6414451215758925, 1.8760911168494216]","[5.809566693179939, 8.6138285429783, 2.8506161224127706, 2.887364103155807, 1.308243967938618]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.09467123636480955, 0.1393706251460694, 0.0, 0.0, 0.0]","[-0.00800249217394039, -0.005067217380019845, 0.004703023117711208, -0.0333064763836058, -0.01297538972957541]","[-0.0840850208131104, 0.12066683036250153, 0.027860658183685695, -0.028681640786237177, -0.016565272584737497]",1.0,0.6666666666666666
2,multiplicative,2,228628,80.85275162095786,True,True,"[0.945202918351859, 0.7411836531355492, 4.741444399364901, 4.21014552289761, 1.8523626426478397]","[1.308040018711543, 4.207227876706322, 0.00759060192780804, 2.928884343250423, 1.6309756963856281]","[0.0, 0.0, 0.0, 0.0, 0.0]","[-0.04616091669567478, -0.07052086966132029, 0.0, 0.0, 0.0]","[0.006008804919646861, 0.004593378896308944, 0.030631756595997102, 0.027527914161132438, 0.01163783124503852]","[-0.011991884389766196, -0.04813594944324459, -5.682715223457799e-05, 0.02886786990701323, 0.015890598322033357]",0.5,0.3333333333333333
